Publisher,GameID,Game,Developer,Console Short Name,Ratings,Release
10tons,Azkend 2: The World Beneath | NS,Azkend 2: The World Beneath,10tons Ltd,NS,Everyone,2018-01-12 00:00:00
10tons,JYDGE | NS,JYDGE,10tons Ltd,NS,Teen,2017-10-19 00:00:00
10tons,King Oddball | NS,King Oddball,10tons Ltd,NS,Everyone 10+,2017-10-30 00:00:00
10tons,Neon Chrome | NS,Neon Chrome,10tons Ltd,NS,Teen,2017-10-12 00:00:00
10tons,Sparkle 2 | NS,Sparkle 2,10tons Ltd,NS,Everyone,2017-09-28 00:00:00
10tons,Spellspire | NS,Spellspire,10tons Ltd,NS,Everyone 10+,2017-11-09 00:00:00
10tons,Tesla vs Lovecraft | NS,Tesla vs Lovecraft,10tons Ltd,NS,Teen,2018-03-16 00:00:00
10tons,Time Recoil | NS,Time Recoil,10tons Ltd,NS,Teen,2017-10-26 00:00:00
10tons Ltd,Baseball Riot | NS,Baseball Riot,10tons Ltd,NS,Everyone 10+,2018-01-19 00:00:00
10tons Ltd,Crimsonland | NS,Crimsonland,10tons Ltd,NS,Teen,2017-11-24 00:00:00
10tons Ltd,Crimsonland | PS4,Crimsonland,Unknown,PS4,Teen,2015-01-01 00:00:00
10tons Ltd,Sparkle 2 | PS4,Sparkle 2,Unknown,PS4,Everyone,2014-05-20 00:00:00
10tons Ltd,Werewolves vs Vampires | PS4,Werewolves vs Vampires,Unknown,PS4,,2014-04-08 00:00:00
10tons Ltd,Xenoraid | NS,Xenoraid,10tons Ltd,NS,Everyone,2017-11-17 00:00:00
11 bit studios,Anomaly 2 | PS4,Anomaly 2,Unknown,PS4,Teen,2014-09-16 00:00:00
11 bit studios,Anomaly: Warzone Earth | PS3,Anomaly: Warzone Earth,Unknown,PS3,Everyone 10+,2012-09-11 00:00:00
11 bit studios,Anomaly: Warzone Earth | X360,Anomaly: Warzone Earth,Unknown,X360,Everyone 10+,2012-04-06 00:00:00
11 bit studios,This War of Mine | PS4,This War of Mine,11 bit studios,PS4,,2016-01-29 00:00:00
11 bit studios,This War of Mine | XOne,This War of Mine,11 bit studios,XOne,,2016-01-29 00:00:00
17-Bit,Galak-Z: The Dimensional | PS4,Galak-Z: The Dimensional,17-Bit,PS4,Everyone 10+,2015-08-04 00:00:00
17-Bit,Skulls of the Shogun: Bone-a-Fide Edition | PS4,Skulls of the Shogun: Bone-a-Fide Edition,17-Bit,PS4,Teen,2015-06-02 00:00:00
1C Company,Off-Road Drive | PS3,Off-Road Drive,Avalon Style,PS3,,2020-12-31 00:00:00
1C Company,Off-Road Drive | X360,Off-Road Drive,Avalon Style,X360,,2020-12-31 00:00:00
2Awesome Studio,Dimension Drive | NS,Dimension Drive,2Awesome Studio,NS,Everyone 10+,2017-12-07 00:00:00
2K Boston,SolForge | Wii,SolForge,Unknown,Wii,,2014-04-01 00:00:00
2K Boston,SolForge | X360,SolForge,Unknown,X360,,2014-04-01 00:00:00
2K Games,24: The Game | PS2,24: The Game,SCE Studio Cambridge,PS2,Mature,2006-02-28 00:00:00
2K Games,Battleborn | PS4,Battleborn,Gearbox Software,PS4,Teen,2016-05-03 00:00:00
2K Games,Battleborn | XOne,Battleborn,Gearbox Software,XOne,Teen,2016-05-03 00:00:00
2K Games,BioShock | PS3,BioShock,2K Boston / 2K Australia / 2K Marin,PS3,Mature,2008-10-21 00:00:00
2K Games,BioShock | X360,BioShock,2K Australia / 2K Boston,X360,Mature,2007-08-21 00:00:00
2K Games,BioShock 2 | PS3,BioShock 2,2K Marin,PS3,Mature,2010-02-09 00:00:00
2K Games,BioShock 2 | X360,BioShock 2,2K Marin,X360,Mature,2010-02-09 00:00:00
2K Games,BioShock Infinite | PS3,BioShock Infinite,Irrational Games,PS3,Mature,2013-03-26 00:00:00
2K Games,BioShock Infinite | X360,BioShock Infinite,Irrational Games,X360,Mature,2013-03-26 00:00:00
2K Games,BioShock: The Collection | PS4,BioShock: The Collection,"Blind Squirrel Digital, Inc",PS4,Mature,2016-09-13 00:00:00
2K Games,BioShock: The Collection | XOne,BioShock: The Collection,"Blind Squirrel Digital, Inc",XOne,Mature,2016-09-13 00:00:00
2K Games,Borderlands | PS3,Borderlands,Gearbox Software,PS3,Mature,2009-10-20 00:00:00
2K Games,Borderlands | X360,Borderlands,Gearbox Software,X360,Mature,2009-10-20 00:00:00
2K Games,Borderlands 2 | PS3,Borderlands 2,Gearbox Software,PS3,Mature,2012-09-18 00:00:00
2K Games,Borderlands 2 | X360,Borderlands 2,Gearbox Software,X360,Mature,2013-01-15 00:00:00
2K Games,Borderlands: Double Game Add-On Pack | X360,Borderlands: Double Game Add-On Pack,Gearbox Software,X360,Mature,2010-04-06 00:00:00
2K Games,Borderlands: Game of the Year Edition | PS3,Borderlands: Game of the Year Edition,Gearbox Software,PS3,Mature,2010-10-12 00:00:00
2K Games,Borderlands: Game of the Year Edition | X360,Borderlands: Game of the Year Edition,Gearbox Software,X360,Mature,2010-10-12 00:00:00
2K Games,Borderlands: The Handsome Collection | PS4,Borderlands: The Handsome Collection,Gearbox Software,PS4,Mature,2015-03-24 00:00:00
2K Games,Borderlands: The Handsome Collection | XOne,Borderlands: The Handsome Collection,Gearbox Software,XOne,Mature,2015-03-24 00:00:00
2K Games,Borderlands: The Pre-Sequel | PS3,Borderlands: The Pre-Sequel,Unknown,PS3,Mature,2014-10-14 00:00:00
2K Games,Borderlands: The Pre-Sequel | X360,Borderlands: The Pre-Sequel,Unknown,X360,Mature,2014-10-14 00:00:00
2K Games,Call of Cthulhu: Dark Corners of the Earth | XB,Call of Cthulhu: Dark Corners of the Earth,Headfirst Productions,XB,Mature,2005-10-24 00:00:00
2K Games,Close Combat: First to Fight | XB,Close Combat: First to Fight,Destineer,XB,Teen,2005-04-06 00:00:00
2K Games,Conflict: Global Terror | PS2,Conflict: Global Terror,Pivotal Games,PS2,Mature,2005-10-04 00:00:00
2K Games,Conflict: Global Terror | XB,Conflict: Global Terror,Pivotal Games,XB,Mature,2005-10-04 00:00:00
2K Games,Don King Presents: Prizefighter | X360,Don King Presents: Prizefighter,Venom Games,X360,Teen,2008-06-10 00:00:00
2K Games,Duke Nukem Forever | PS3,Duke Nukem Forever,Gearbox Software,PS3,Mature,2011-06-14 00:00:00
2K Games,Duke Nukem Forever | X360,Duke Nukem Forever,Gearbox Software,X360,Mature,2011-06-14 00:00:00
2K Games,Evolve | PS4,Evolve,Turtle Rock Studios,PS4,Mature,2015-02-10 00:00:00
2K Games,Evolve | XOne,Evolve,Turtle Rock Studios,XOne,Mature,2015-02-10 00:00:00
2K Games,Family Guy | PS2,Family Guy,High Voltage Software,PS2,Mature,2006-10-16 00:00:00
2K Games,Family Guy | XB,Family Guy,High Voltage Software,XB,,2006-10-16 00:00:00
2K Games,Fantastic Four: Rise of the Silver Surfer | PS2,Fantastic Four: Rise of the Silver Surfer,7 Studios,PS2,Teen,2007-06-15 00:00:00
2K Games,Fantastic Four: Rise of the Silver Surfer | PS3,Fantastic Four: Rise of the Silver Surfer,Visual Concepts,PS3,Teen,2007-06-15 00:00:00
2K Games,Fantastic Four: Rise of the Silver Surfer | Wii,Fantastic Four: Rise of the Silver Surfer,7 Studios,Wii,Teen,2007-06-15 00:00:00
2K Games,Fantastic Four: Rise of the Silver Surfer | X360,Fantastic Four: Rise of the Silver Surfer,Visual Concepts,X360,Teen,2007-06-15 00:00:00
2K Games,Ford Mustang: The Legend Lives | PS2,Ford Mustang: The Legend Lives,Eutechnyx,PS2,Everyone,2005-04-19 00:00:00
2K Games,Ford Mustang: The Legend Lives | XB,Ford Mustang: The Legend Lives,Eutechnyx,XB,,2005-04-20 00:00:00
2K Games,Ford Racing 3 | PS2,Ford Racing 3,Empire Interactive,PS2,Everyone,2005-03-22 00:00:00
2K Games,Ford Racing 3 | XB,Ford Racing 3,Razorworks Studios,XB,Everyone,2005-03-22 00:00:00
2K Games,Ghost Rider | PS2,Ghost Rider,Climax Group,PS2,Teen,2007-02-13 00:00:00
