 Europe Software,Console Logo,Console Long Name,Console Short Name,Console Type,CPU,Europe Hardware,Generation,Global Hardware,Global Software,ID,Japan Software,Japan Hardware,Manufacturer,Manufacturer Logo,North America Hardware,North America Software,Rest of World Hardware,Rest of World Software
3.7,https://seeklogo.com/images/S/Sega_Saturn-logo-2C2BA9D972-seeklogo.com.jpg,Sega Saturn,SAT,Home,2× Hitachi SH-2 @ 28.6 MHz,1.12,5,8.82,47.34,1,35.67,5.8,Sega,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/SEGA_logo.svg/1280px-SEGA_logo.svg.png,1.83,6.91,0.07,1.06
30.16,https://upload.wikimedia.org/wikipedia/commons/3/35/Nintendo-Wii-U-Logo.png,Wii U,WiiU,Home,"1.24 GHz Tri-Core IBM PowerPC ""Espresso""",3.54,8,13.97,93.04,1,14.32,3.33,Nintendo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Nintendo_red_logo.svg/1280px-Nintendo_red_logo.svg.png,6.23,41.61,0.87,6.95
16.32,https://upload.wikimedia.org/wikipedia/commons/3/38/Nintendo_switch_logo.png,Nintendo Switch,NS,Home,Octa-core (2 quad-core modules) Nvidia Tegra X1 ARMv8-A SoC @ 1.02 GHz,4.47,8,16.89,49.35,1,9.77,4.16,Nintendo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Nintendo_red_logo.svg/1280px-Nintendo_red_logo.svg.png,6.52,19.88,1.74,3.38
269.66,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Wii_logo.png/1024px-Wii_logo.png,Wii,Wii,Home,"IBM PowerPC ""Broadway""",33.88,7,101.64,965.78,1,69.7,12.77,Nintendo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Nintendo_red_logo.svg/1280px-Nintendo_red_logo.svg.png,45.51,509.91,9.48,116.51
47.25,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/SNES_logo.svg/444px-SNES_logo.svg.png,Super Nintendo Entertainment System,SNES,Home,Ricoh 5A22 @ 3.58 MHz,8.15,4,49.1,379.06,1,194.85,17.17,Nintendo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Nintendo_red_logo.svg/1280px-Nintendo_red_logo.svg.png,22.88,132.98,0.9,3.98
75.22,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Xbox_One_logo_wordmark.svg/1000px-Xbox_One_logo_wordmark.svg.png,Xbox One,XOne,Home,Custom 1.75 GHz AMD 8-core APU (2 quad-core Jaguar modules),9.94,8,37.41,242.57,1,0.5,0.09,Microsoft,https://upload.wikimedia.org/wikipedia/commons/thumb/9/96/Microsoft_logo_%282012%29.svg/1280px-Microsoft_logo_%282012%29.svg.png,23.21,144.83,4.17,22.02
280.9,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Playstation_logo_colour.svg/1000px-Playstation_logo_colour.svg.png,PlayStation,PS,Home,R3000 @ 33.8688 MHz,36.91,5,104.25,962.01,1,244.1,19.36,Sony,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Sony_logo.svg/1280px-Sony_logo.svg.png,38.94,357.97,9.04,79.04
346.1,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/PlayStation_3_Logo_neu.svg/1024px-PlayStation_3_Logo_neu.svg.png,Playstation 3,PS3,Home,3.2 GHz Cell Broadband Engine with 1 PPE & 7 SPEs,34.55,7,86.9,974.58,1,82.94,10.47,Sony,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Sony_logo.svg/1280px-Sony_logo.svg.png,29.42,400.33,12.46,145.21
48.5,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Sega_genesis_logo.svg/1024px-Sega_genesis_logo.svg.png,Sega Genesis,GEN,Home,Motorola 68000 @ 7.6 MHz,8.39,4,29.54,175.8,1,28.43,3.58,Sega,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/SEGA_logo.svg/1280px-SEGA_logo.svg.png,16.98,95.42,0.59,3.45
563.77,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/PlayStation_2_logo.svg/1000px-PlayStation_2_logo.svg.png,PlayStation 2,PS2,Home,"Emotion Engine clocked at 294.912 MHz (launch), 299 MHz (newer models), with 128-bit SIMD capabilities",55.28,6,157.68,1661.95,1,222.6,23.18,Sony,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Sony_logo.svg/1280px-Sony_logo.svg.png,53.65,658.26,25.57,217.32
