GameID,Genre
Advanced V.G. | SAT,Action
Alien Trilogy | SAT,Action
Alone in the Dark 2 | SAT,Action
Amok | SAT,Action
Area 51 | SAT,Action
Assault Rigs | SAT,Action
Assault Suit Leynos 2 | SAT,Action
Astal | SAT,Action
Astra Superstars | SAT,Action
Asuka 120% Limited: Burning Fest. Limited | SAT,Action
Baroque | SAT,Action
Batman Forever | SAT,Action
Batsugun | SAT,Action
Battle Arena Toshinden Remix | SAT,Action
Battle Arena Toshinden Ultimate Revenge Attack | SAT,Action
Battle Garegga | SAT,Action
Battle Monsters | SAT,Action
Battlesport | SAT,Action
Battle Stations | SAT,Action
Bish?jo Senshi Sailor Moon SuperS: Various Emotion | SAT,Action
Black Dawn | SAT,Action
Black Fire | SAT,Action
Blast Chamber | SAT,Action
Blast Wind | SAT,Action
Brain Dead 13 | SAT,Action
Bubble Bobble also featuring Rainbow Islands | SAT,Action
Bubble Symphony | SAT,Action
Bug! | SAT,Action
Bug Too! | SAT,Action
Burning Rangers | SAT,Action
Capcom Generation: Dai 1 Sh? - Gekitsui? no Jidai | SAT,Action
Capcom Generation: Dai 2 Sh? - Makai to Kishi | SAT,Action
Capcom Generation: Dai 4 Sh? - Kok? no Eiy? | SAT,Action
Castlevania: Symphony of the Night | SAT,Action
Chaos Control | SAT,Action
Chaos Seed: F?sui Kair?ki | SAT,Action
Ch? Aniki: Ky?kyoku Muteki Ginga Saiky? Otoko | SAT,Action
Ch? Jik? Y?sai Macross: Ai Oboete Imasu ka | SAT,Action
Christmas NiGHTS into Dreams... | SAT,Action
Clockwork Knight | SAT,Action
Clockwork Knight 2 | SAT,Action
Congo: The Movie - The Lost City of Zinj | SAT,Action
Contra: Legacy of War | SAT,Action
Corpse Killer | SAT,Action
Courier Crisis | SAT,Action
Creature Shock | SAT,Action
CrimeWave | SAT,Action
Criticom | SAT,Action
Croc: Legend of the Gobbos | SAT,Action
The Crow: City of Angels | SAT,Action
Crusader: No Remorse | SAT,Action
Crypt Killer | SAT,Action
Cyberbots: Full Metal Madness | SAT,Action
Cyberia | SAT,Action
Cyber Troopers Virtual On | SAT,Action
Darius Gaiden | SAT,Action
Dark Legend | SAT,Action
Darklight Conflict | SAT,Action
Dark Savior | SAT,Action
Darkstalkers 3 | SAT,Action
Dead or Alive | SAT,Action
Deep Fear | SAT,Action
Defcon 5 | SAT,Action
Destruction Derby | SAT,Action
Detana!! Twinbee Yahoo! Deluxe Pack | SAT,Action
Die Hard Arcade | SAT,Action
Die Hard Trilogy | SAT,Action
DoDonPachi | SAT,Action
DonPachi | SAT,Action
DOOM | SAT,Action
Doraemon: Nobita to Fukkatsu no Hoshi | SAT,Action
Dragon Ball Z: Idainaru Dragon Ball Densetsu | SAT,Action
Dragon Ball Z: Shin But?den | SAT,Action
DragonHeart: Fire & Steel | SAT,Action
Duke Nukem 3D | SAT,Action
Dungeons & Dragons Collection | SAT,Action
D-Xhird | SAT,Action
Earthworm Jim 2 | SAT,Action
Elevator Action II | SAT,Action
Enemy Zero | SAT,Action
Fantasy Zone | SAT,Action
Fatal Fury 3: Road to the Final Victory | SAT,Action
Fighter's History Dynamite | SAT,Action
Fighters Megamix | SAT,Action
Fighting Vipers | SAT,Action
Final Fight Revenge | SAT,Action
Galactic Attack | SAT,Action
Galaxy Fight: Universal Warriors | SAT,Action
Gals Panic SS | SAT,Action
Game Tengoku: The Game Paradise! | SAT,Action
Gex | SAT,Action
Ghen War | SAT,Action
Goiken Muyou: Anarchy in the Nippon | SAT,Action
Golden Axe: The Duel | SAT,Action
Gradius: Deluxe Pack | SAT,Action
Grid Runner | SAT,Action
Groove on Fight: G?ketsuji Ichizoku 3 | SAT,Action
Guardian Heroes | SAT,Action
Gun Frontier | SAT,Action
Gungriffon | SAT,Action
Gungriffon II | SAT,Action
Hansha de Spark! | SAT,Action
Herc's Adventures | SAT,Action
Hexen: Beyond Heretic | SAT,Action
The Horde | SAT,Action
The House of the Dead | SAT,Action
hyper 3-D Pinball | SAT,Action
Hyper 3D Taisen Battle Gebockers | SAT,Action
Hyper Duel | SAT,Action
Idol Janshi Suchie-Pai Secret Album | SAT,Action
Image Fight & X Multiply | SAT,Action
Impact Racing | SAT,Action
The Incredible Hulk: The Pantheon Saga | SAT,Action
Independence Day | SAT,Action
In the Hunt | SAT,Action
Iron Man / X-O Manowar in Heavy Metal | SAT,Action
Jikky? Oshaberi Parodius | SAT,Action
Johnny Bazookatone | SAT,Action
Keio Flying Squadron 2 | SAT,Action
Kingdom Grandprix | SAT,Action
The King of Fighters '95 | SAT,Action
The King of Fighters '96 | SAT,Action
The King of Fighters '97 | SAT,Action
The King of Fighters Best Collection | SAT,Action
Krazy Ivan | SAT,Action
Last Bronx | SAT,Action
The Legend of Oasis | SAT,Action
Linkle Liver Story | SAT,Action
Liquid Kids | SAT,Action
Loaded | SAT,Action
Lode Runner Extra | SAT,Action
Lode Runner: The Legend Returns | SAT,Action
The Lost World: Jurassic Park | SAT,Action
Machine Head | SAT,Action
Magical Night Dreams: Cotton 2 | SAT,Action
Magical Night Dreams: Cotton Boomerang | SAT,Action
Magic Carpet Plus | SAT,Action
Magic Knight Rayearth | SAT,Action
Marvel Super Heroes | SAT,Action
Marvel Super Heroes vs. Street Fighter | SAT,Action
Mass Destruction | SAT,Action
Maximum Force | SAT,Action
MechWarrior 2: 31st Century Combat | SAT,Action
Mega Man 8: Anniversary Edition | SAT,Action
Mega Man X3 | SAT,Action
Mega Man X4 | SAT,Action
Metal Black | SAT,Action
Metal Slug: Super Vehicle - 001 | SAT,Action
Mobile Light Force | SAT,Action
Mortal Kombat II | SAT,Action
Mortal Kombat Trilogy | SAT,Action
Mr. Bones | SAT,Action
NBA Jam Tournament Edition | SAT,Action
Nekketsu Oyako | SAT,Action
NHL 97 | SAT,Action
NiGHTS into Dreams... | SAT,Action
Night Striker | SAT,Action
Night Warriors: Darkstalkers' Revenge | SAT,Action
Norse by Norse West: The Return of the Lost Vikings | SAT,Action
Off-World Interceptor | SAT,Action
Pandemonium! | SAT,Action
Panzer Dragoon | SAT,Action
Panzer Dragoon II: Zwei | SAT,Action
Parodius | SAT,Action
Pastel Muse | SAT,Action
Pocket Fighter | SAT,Action
Powerslave | SAT,Action
Primal Rage | SAT,Action
Princess Crown | SAT,Action
Pro Pinball: The Web | SAT,Action
The Psychotron | SAT,Action
Pu?Li?Ru?La | SAT,Action
Purikura Daisakusen | SAT,Action
Quake | SAT,Action
Quantum Gate | SAT,Action
Quarantine | SAT,Action
Rabbit | SAT,Action
Radiant Silvergun | SAT,Action
Ragnagard | SAT,Action
Rampage World Tour | SAT,Action
Rayman | SAT,Action
