Game,Japan Sales,GameID,Pos,PAL Sales,Other Sales,NA Sales,Metacritic Score,Total Sales,User Score
1080° Avalanche,,1080° Avalanche | GCN,566,,,,,,
18 Wheeler: American Pro Trucker,,18 Wheeler: American Pro Trucker | GCN,329,0.02,,0.09,,0.11,
2 Games in 1: The Incredibles + Finding Nemo,,2 Games in 1: The Incredibles + Finding Nemo | GCN,567,,,,,,
2 Games in 1: The SpongeBob SquarePants Movie / Battle for Bikini Bottom,,2 Games in 1: The SpongeBob SquarePants Movie / Battle for Bikini Bottom | GCN,568,,,,,,
2 Games in 1: The SpongeBob SquarePants Movie / Tak 2: The Staff of Dreams,,2 Games in 1: The SpongeBob SquarePants Movie / Tak 2: The Staff of Dreams | GCN,569,,,,,,
2002 FIFA World Cup,,2002 FIFA World Cup | GCN,473,0.01,,0.04,,0.05,
4X4 EVO 2,,4X4 EVO 2 | GCN,299,0.03,,0.11,,0.14,
Aggressive Inline,,Aggressive Inline | GCN,446,0.01,,0.04,,0.06,
Alien Hominid,,Alien Hominid | GCN,360,0.02,,0.07,78.0,0.09,8.1
All-Star Baseball 2002,,All-Star Baseball 2002 | GCN,209,0.04,0.01,0.17,,0.22,
All-Star Baseball 2003,,All-Star Baseball 2003 | GCN,279,0.03,,0.12,,0.15,
All-Star Baseball 2004,,All-Star Baseball 2004 | GCN,400,0.02,,0.06,,0.08,
Amazing Island,,Amazing Island | GCN,451,0.01,,0.04,59.0,0.06,6.6
American Chopper 2: Full Throttle,,American Chopper 2: Full Throttle | GCN,472,0.01,,0.04,54.0,0.05,
Animal Crossing,0.99,Animal Crossing | GCN,6,0.16,0.09,1.92,,3.15,
Animaniacs: The Great Edgar Hunt,,Animaniacs: The Great Edgar Hunt | GCN,511,0.01,,0.02,65.0,0.03,
Aquaman: Battle for Atlantis,,Aquaman: Battle for Atlantis | GCN,546,,,0.01,,0.01,
Archer Maclean Presents: Pool Paradise,,Archer Maclean Presents: Pool Paradise | GCN,516,0.01,,0.02,,0.03,
Army Men: Air Combat - The Elite Missions,,Army Men: Air Combat - The Elite Missions | GCN,549,,,0.01,,0.01,
Army Men: RTS,,Army Men: RTS | GCN,424,0.01,,0.05,,0.07,8.5
Army Men: Sarge's War,,Army Men: Sarge's War | GCN,273,0.03,,0.12,56.0,0.15,6.5
Asterix & Obelix XXL,,Asterix & Obelix XXL | GCN,570,,,,,,
ATV Quad Power Racing 2,,ATV Quad Power Racing 2 | GCN,167,0.06,0.01,0.22,,0.28,
Auto Modellista,,Auto Modellista | GCN,513,0.01,,0.02,62.0,0.03,
Avatar: The Last Airbender,,Avatar: The Last Airbender | GCN,96,0.1,0.01,0.39,60.0,0.5,6.5
Backyard Baseball,,Backyard Baseball | GCN,307,0.03,,0.1,,0.13,
Backyard NFL Football,,Backyard NFL Football | GCN,183,0.05,0.01,0.2,,0.26,
