渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,素材类型_gif,素材类型_jpg,素材类型_sp,素材类型_swf,广告类型_banner,广告类型_tips,广告类型_不确定,广告类型_暂停,广告类型_横幅,合作方式_cpc,合作方式_cpd,合作方式_cpm,合作方式_roi,广告尺寸_140*40,广告尺寸_308*388,广告尺寸_390*270,广告尺寸_450*300,广告尺寸_480*360,广告尺寸_600*90,广告尺寸_900*120,广告尺寸_960*126,广告卖点_打折,广告卖点_满减,广告卖点_满赠,广告卖点_满返,广告卖点_直降,广告卖点_秒杀
A203,0.0001,0.1816,0.0206,0.0133,0.1192,0.6552,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
A387,0.0071,0.1023,0.0312,0.0107,0.0139,0.6207,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A388,0.0036,0.0563,0.0511,0.009,0.012,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A389,0.0,0.1893,0.3261,0.0331,0.0707,0.3103,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A390,0.0001,0.0716,0.1678,0.0122,0.0032,1.0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A391,0.0,0.3606,0.4007,0.0328,0.1275,0.0345,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A392,0.0001,0.0716,0.0822,0.0075,0.0032,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A393,0.0005,0.0818,0.052,0.014,0.0148,0.1034,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A394,0.0019,0.0972,0.0432,0.0141,0.0139,0.1724,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
A395,0.0018,0.1125,0.0539,0.0129,0.0134,0.5172,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
